# Surface topography
# POINTS: 2001
129250 1500
129500 1510
129750 1520
130000 1530
130250 1545
130500 1560
130750 1570
131000 1580
131250 1590
131500 1600
131750 1615
132000 1630
132250 1640
132500 1650
132750 1665
133000 1680
133250 1690
133500 1700
133750 1715
134000 1730
134250 1740
134500 1750
134750 1765
135000 1780
135250 1795
135500 1810
135750 1825
136000 1840
136250 1850
136500 1860
136750 1875
137000 1890
137250 1905
137500 1920
137750 1935
138000 1950
138250 1965
138500 1980
138750 1995
139000 2010
139250 2025
139500 2040
139750 2055
140000 2070
140250 2085
140500 2100
140750 2115
141000 2130
141250 2145
141500 2160
141750 2175
142000 2190
142250 2210
142500 2230
142750 2245
143000 2260
143250 2275
143500 2290
143750 2305
144000 2320
144250 2340
144500 2360
144750 2375
145000 2390
145250 2405
145500 2420
145750 2440
146000 2460
146250 2475
146500 2490
146750 2510
147000 2530
147250 2550
147500 2570
147750 2585
148000 2600
148250 2620
148500 2640
148750 2660
149000 2680
149250 2700
149500 2720
149750 2740
150000 2760
150250 2780
150500 2800
150750 2820
151000 2840
151250 2860
151500 2880
151750 2905
152000 2930
152250 2950
152500 2970
152750 2990
153000 3010
153250 3035
153500 3060
153750 3080
154000 3100
154250 3125
154500 3150
154750 3175
155000 3200
155250 3220
155500 3240
155750 3265
156000 3290
156250 3315
156500 3340
156750 3365
157000 3390
157250 3420
157500 3450
157750 3475
158000 3500
158250 3530
158500 3560
158750 3585
159000 3610
159250 3640
159500 3670
159750 3700
160000 3730
160250 3755
160500 3780
160750 3810
161000 3840
161250 3870
161500 3900
161750 3925
162000 3950
162250 3980
162500 4010
162750 4045
163000 4080
163250 4110
163500 4140
163750 4170
164000 4200
164250 4235
164500 4270
164750 4300
165000 4330
165250 4365
165500 4400
165750 4430
166000 4460
166250 4495
166500 4530
166750 4565
167000 4600
167250 4630
167500 4660
167750 4695
168000 4730
168250 4715
168500 4700
168750 4690
169000 4680
169250 4590
169500 4500
169750 4410
170000 4320
170250 4200
170500 4080
170750 3965
171000 3850
171250 3725
171500 3600
171750 3480
172000 3360
172250 3255
172500 3150
172750 3050
173000 2950
173250 2840
173500 2730
173750 2625
174000 2520
174250 2490
174500 2460
174750 2370
175000 2280
175250 2160
175500 2030
175750 1940
176000 1850
176250 1770
176500 1700
176750 1620
177000 1540
177250 1460
177500 1370
177750 1310
178000 1250
178250 1190
178500 1130
178750 1080
179000 1020
179250 920
179500 820
179750 760
180000 700
180250 630
180500 560
180750 490
181000 420
181250 330
181500 240
181750 160
182000 80
182250 0
182500 -80
182750 -160
183000 -240
183250 -350
183500 -450
183750 -510
184000 -560
184250 -640
184500 -720
184750 -810
185000 -900
185250 -1020
185500 -1130
185750 -1240
186000 -1350
186250 -1410
186500 -1470
186750 -1560
187000 -1650
187250 -1760
187500 -1870
187750 -1970
188000 -2070
188250 -2120
188500 -2170
188750 -2230
189000 -2280
189250 -2420
189500 -2550
189750 -2670
190000 -2780
190250 -2880
190500 -2980
190750 -3030
191000 -3080
191250 -3150
191500 -3220
191750 -3310
192000 -3400
192250 -3450
192500 -3500
192750 -3580
193000 -3660
193250 -3750
193500 -3840
193750 -3910
194000 -3980
194250 -4050
194500 -4110
194750 -4140
195000 -4160
195250 -4260
195500 -4360
195750 -4410
196000 -4470
196250 -4480
196500 -4500
196750 -4460
197000 -4430
197250 -4500
197500 -4580
197750 -4600
198000 -4630
198250 -4690
198500 -4750
198750 -4760
199000 -4780
199250 -4830
199500 -4880
199750 -4960
200000 -5040
200250 -5040
200500 -5050
200750 -5030
201000 -5010
201250 -5070
201500 -5130
201750 -5170
202000 -5210
202250 -5180
202500 -5140
202750 -5230
203000 -5310
203250 -5210
203500 -5120
203750 -5200
204000 -5290
204250 -5260
204500 -5240
204750 -5130
205000 -5030
205250 -5080
205500 -5130
205750 -5190
206000 -5250
206250 -5290
206500 -5330
206750 -5350
207000 -5380
207250 -5290
207500 -5200
207750 -5160
208000 -5110
208250 -5050
208500 -5000
208750 -4940
209000 -4890
209250 -4880
209500 -4870
209750 -4890
210000 -4910
210250 -4980
210500 -5050
210750 -5150
211000 -5260
211250 -5290
211500 -5330
211750 -5320
212000 -5310
212250 -5290
212500 -5260
212750 -5240
213000 -5210
213250 -5190
213500 -5160
213750 -5130
214000 -5110
214250 -5090
214500 -5060
214750 -5040
215000 -5020
215250 -4990
215500 -4970
215750 -4950
216000 -4930
216250 -4910
216500 -4890
216750 -4870
217000 -4850
217250 -4830
217500 -4800
217750 -4770
218000 -4750
218250 -4720
218500 -4690
218750 -4670
219000 -4650
219250 -4640
219500 -4620
219750 -4620
220000 -4610
220250 -4610
220500 -4610
220750 -4620
221000 -4630
221250 -4630
221500 -4630
221750 -4620
222000 -4620
222250 -4610
222500 -4610
222750 -4600
223000 -4590
223250 -4590
223500 -4580
223750 -4560
224000 -4540
224250 -4520
224500 -4510
224750 -4500
225000 -4490
225250 -4490
225500 -4480
225750 -4480
226000 -4480
226250 -4480
226500 -4470
226750 -4470
227000 -4460
227250 -4460
227500 -4450
227750 -4450
228000 -4440
228250 -4440
228500 -4430
228750 -4430
229000 -4420
229250 -4420
229500 -4410
