# Moho depth
# POINTS: 2001
100500 5329.05
100750 5333.43
101000 5337.8
101250 5342.25
101500 5346.7
101750 5351.15
102000 5355.6
102250 5360.15
102500 5364.7
102750 5369.25
103000 5373.8
103250 5378.43
103500 5383.05
103750 5387.68
104000 5392.3
104250 5397
104500 5401.7
104750 5406.4
105000 5411.1
105250 5415.93
105500 5420.75
105750 5425.57
106000 5430.4
106250 5435.3
106500 5440.2
106750 5445.1
107000 5450
107250 5454.98
107500 5459.95
107750 5464.92
108000 5469.9
108250 5474.97
108500 5480.05
108750 5485.13
109000 5490.2
109250 5495.38
109500 5500.55
109750 5505.72
110000 5510.9
110250 5516.15
110500 5521.4
110750 5526.65
111000 5531.9
111250 5537.25
111500 5542.6
111750 5547.95
112000 5553.3
112250 5558.73
112500 5564.15
112750 5569.57
113000 5575
113250 5580.52
113500 5586.05
113750 5591.58
114000 5597.1
114250 5602.73
114500 5608.35
114750 5613.98
115000 5619.6
115250 5625.3
115500 5631
115750 5636.7
116000 5642.4
116250 5648.17
116500 5653.95
116750 5659.73
117000 5665.5
117250 5671.35
117500 5677.2
117750 5683.05
118000 5688.9
118250 5694.87
118500 5700.85
118750 5706.83
119000 5712.8
119250 5718.83
119500 5724.85
119750 5730.87
120000 5736.9
120250 5743.02
120500 5749.15
120750 5755.27
121000 5761.4
121250 5767.6
121500 5773.8
121750 5780
122000 5786.2
122250 5792.47
122500 5798.75
122750 5805.03
123000 5811.3
123250 5817.68
123500 5824.05
123750 5830.43
124000 5836.8
124250 5843.23
124500 5849.65
124750 5856.07
125000 5862.5
125250 5869.02
125500 5875.55
125750 5882.08
126000 5888.6
126250 5895.18
126500 5901.75
126750 5908.32
127000 5914.9
127250 5921.57
127500 5928.25
127750 5934.93
128000 5941.6
128250 5948.33
128500 5955.05
128750 5961.77
129000 5968.5
129250 5975.3
129500 5982.1
129750 5988.9
130000 5995.7
130250 6002.57
130500 6009.45
130750 6016.32
131000 6023.2
131250 6030.07
131500 6036.95
131750 6043.82
132000 6050.7
132250 6057.52
132500 6064.35
132750 6071.18
133000 6078
133250 6084.88
133500 6091.75
133750 6098.63
134000 6105.5
134250 6112.45
134500 6119.4
134750 6126.35
135000 6133.3
135250 6140.3
135500 6147.3
135750 6154.3
136000 6161.3
136250 6168.35
136500 6175.4
136750 6182.45
137000 6189.5
137250 6196.65
137500 6203.8
137750 6210.95
138000 6218.1
138250 6225.3
138500 6232.5
138750 6239.7
139000 6246.9
139250 6254.17
139500 6261.45
139750 6268.73
140000 6276
140250 6283.35
140500 6290.7
140750 6298.05
141000 6305.4
141250 6312.82
141500 6320.25
141750 6327.68
142000 6335.1
142250 6342.63
142500 6350.15
142750 6357.67
143000 6365.2
143250 6372.8
143500 6380.4
143750 6388
144000 6395.6
144250 6403.3
144500 6411
144750 6418.7
145000 6426.4
145250 6434.17
145500 6441.95
145750 6449.73
146000 6457.5
146250 6465.4
146500 6473.3
146750 6481.2
147000 6489.1
147250 6497.1
147500 6505.1
147750 6513.1
148000 6521.1
148250 6529.23
148500 6537.35
148750 6545.48
149000 6553.6
149250 6561.85
149500 6570.1
149750 6578.35
150000 6586.6
150250 6594.98
150500 6603.35
150750 6611.73
151000 6620.1
151250 6628.63
151500 6637.15
151750 6645.67
152000 6654.2
152250 6662.88
152500 6671.55
152750 6680.22
153000 6688.9
153250 6697.75
153500 6706.6
153750 6715.45
154000 6724.3
154250 6733.33
154500 6742.35
154750 6751.37
155000 6760.4
155250 6769.6
