# LAB depth
# POINTS: 2001
132750 107753
133000 107770
133250 107793
133500 107815
133750 107838
134000 107860
134250 107880
134500 107900
134750 107920
135000 107940
135250 107960
135500 107980
135750 108000
136000 108020
136250 108040
136500 108060
136750 108080
137000 108100
137250 108120
137500 108140
137750 108160
138000 108180
138250 108200
138500 108220
138750 108240
139000 108260
139250 108280
139500 108300
139750 108320
140000 108340
140250 108360
140500 108380
140750 108400
141000 108420
141250 108440
141500 108460
141750 108480
142000 108500
142250 108523
142500 108545
142750 108568
143000 108590
143250 108610
143500 108630
143750 108650
144000 108670
144250 108693
144500 108715
144750 108738
145000 108760
145250 108780
145500 108800
145750 108820
146000 108840
146250 108863
146500 108885
146750 108908
147000 108930
147250 108950
147500 108970
147750 108990
148000 109010
148250 109033
148500 109055
148750 109078
149000 109100
149250 109118
149500 109135
149750 109153
150000 109170
150250 109188
150500 109205
150750 109223
151000 109240
151250 109265
151500 109290
151750 109315
152000 109340
152250 109365
152500 109390
152750 109415
153000 109440
153250 109468
153500 109495
153750 109523
154000 109550
154250 109583
154500 109615
154750 109648
155000 109680
155250 109713
155500 109745
155750 109778
156000 109810
156250 109845
156500 109880
156750 109915
157000 109950
157250 109988
157500 110025
157750 110063
158000 110100
158250 110145
158500 110190
158750 110235
159000 110280
159250 110330
159500 110380
159750 110430
160000 110480
160250 110530
160500 110580
160750 110630
161000 110680
161250 110725
161500 110770
161750 110815
162000 110860
162250 110908
162500 110955
162750 111003
163000 111050
163250 111103
163500 111155
163750 111208
164000 111260
164250 111313
164500 111365
164750 111418
165000 111470
165250 111520
165500 111570
165750 111620
166000 111670
166250 111720
166500 111770
166750 111820
167000 111870
167250 111940
167500 112010
167750 112080
168000 112150
168250 112218
168500 112285
168750 112353
169000 112420
169250 112473
169500 112525
169750 112578
170000 112630
170250 112710
170500 112790
170750 112870
171000 112950
171250 113023
171500 113095
171750 113168
172000 113240
172250 113298
172500 113355
172750 113413
173000 113470
173250 113543
173500 113615
173750 113688
174000 113760
174250 113820
174500 113880
174750 113940
175000 114000
175250 114063
175500 114125
175750 114188
176000 114250
176250 114375
176500 114500
176750 114625
177000 114750
177250 114823
177500 114895
177750 114968
178000 115040
178250 115100
178500 115160
178750 115220
179000 115280
179250 115340
179500 115400
179750 115460
180000 115520
180250 115585
180500 115650
180750 115715
181000 115780
181250 115845
181500 115910
181750 115975
182000 116040
182250 116108
182500 116175
182750 116243
183000 116310
183250 116378
183500 116445
183750 116513
184000 116580
184250 116645
184500 116710
184750 116775
185000 116840
185250 116903
185500 116965
185750 117028
186000 117090
186250 117163
186500 117235
186750 117308
187000 117380
187250 117365
187500 117350
187750 117335
188000 117320
188250 117255
188500 117190
188750 117125
189000 117060
189250 116988
189500 116915
189750 116843
190000 116770
190250 116695
190500 116620
190750 116545
191000 116470
191250 116398
191500 116325
191750 116253
192000 116180
192250 116108
192500 116035
192750 115963
193000 115890
193250 115830
193500 115770
193750 115710
194000 115650
194250 115593
194500 115535
194750 115478
195000 115420
195250 115368
195500 115315
195750 115263
196000 115210
196250 115155
196500 115100
196750 115045
197000 114990
197250 114938
197500 114885
197750 114833
198000 114780
198250 114730
198500 114680
198750 114630
199000 114580
199250 114530
199500 114480
199750 114430
200000 114380
200250 114338
200500 114295
200750 114253
201000 114210
201250 114160
201500 114110
201750 114060
202000 114010
202250 113963
202500 113915
202750 113868
203000 113820
203250 113780
203500 113740
203750 113700
204000 113660
204250 113608
204500 113555
204750 113503
205000 113450
205250 113400
205500 113350
205750 113300
206000 113250
206250 113195
206500 113140
206750 113085
207000 113030
207250 112963
207500 112895
207750 112828
208000 112760
208250 112088
208500 111415
208750 110743
209000 110070
209250 109935
209500 109800
209750 109665
210000 109530
210250 109413
210500 109295
210750 109178
211000 109060
211250 108955
211500 108850
211750 108745
212000 108640
212250 108540
212500 108440
212750 108340
213000 108240
213250 108140
213500 108040
213750 107940
214000 107840
214250 107743
214500 107645
214750 107548
215000 107450
215250 107353
215500 107255
215750 107158
216000 107060
216250 106960
216500 106860
216750 106760
217000 106660
217250 106560
217500 106460
217750 106360
218000 106260
218250 106163
218500 106065
218750 105968
219000 105870
219250 105775
219500 105680
219750 105585
220000 105490
220250 105403
220500 105315
220750 105228
221000 105140
221250 105053
221500 104965
221750 104878
222000 104790
222250 104713
222500 104635
222750 104558
223000 104480
223250 104408
223500 104335
223750 104263
224000 104190
224250 104115
224500 104040
224750 103965
225000 103890
225250 103818
225500 103745
225750 103673
226000 103600
226250 103525
226500 103450
226750 103375
227000 103300
227250 103218
227500 103135
227750 103053
228000 102970
228250 102925
228500 102880
228750 102835
229000 102790
229250 102870
229500 102950
229750 103030
230000 103110
230250 103208
230500 103305
230750 103403
231000 103500
231250 103525
231500 103550
231750 103575
232000 103600
232250 103580
232500 103560
232750 103540
233000 103520
233250 103475
233500 103430
233750 103385
234000 103340
234250 103278
234500 103215
234750 103153
235000 103090
235250 103070
235500 103050
235750 103030
236000 103010
236250 103018
236500 103025
236750 103033
237000 103040
237250 103110
237500 103180
237750 103250
238000 103320
238250 103430
238500 103540
238750 103650
239000 103760
239250 103885
239500 104010
239750 104135
240000 104260
240250 104403
240500 104545
240750 104688
241000 104830
241250 104980
241500 105130
241750 105280
242000 105430
242250 105598
242500 105765
242750 105933
243000 106100
243250 106488
243500 106875
243750 107263
244000 107650
244250 107783
244500 107915
244750 108048
245000 108180
245250 108183
245500 108185
245750 108188
246000 108190
246250 108145
246500 108100
246750 108055
247000 108010
247250 107945
247500 107880
247750 107815
248000 107750
248250 107685
248500 107620
248750 107555
249000 107490
249250 107435
249500 107380
249750 107325
250000 107270
250250 107210
250500 107150
250750 107090
251000 107030
251250 106980
251500 106930
251750 106880
252000 106830
252250 106778
252500 106725
252750 106673
253000 106620
253250 106565
253500 106510
253750 106455
254000 106400
254250 106335
254500 106270
254750 106205
255000 106140
255250 106070
255500 106000
255750 105930
256000 105860
256250 105790
256500 105720
256750 105650
257000 105580
257250 105510
257500 105440
257750 105370
258000 105300
258250 105228
258500 105155
258750 105083
259000 105010
259250 104935
259500 104860
259750 104785
260000 104710
260250 104638
260500 104565
260750 104493
261000 104420
261250 104343
261500 104265
261750 104188
262000 104110
262250 104023
262500 103935
262750 103848
263000 103760
263250 103683
263500 103605
263750 103528
264000 103450
264250 103380
264500 103310
264750 103240
265000 103170
265250 103095
265500 103020
265750 102945
266000 102870
266250 102800
266500 102730
266750 102660
267000 102590
267250 102515
267500 102440
267750 102365
268000 102290
268250 102215
268500 102140
268750 102065
269000 101990
269250 101915
269500 101840
269750 101765
270000 101690
270250 101610
270500 101530
270750 101450
271000 101370
271250 101290
271500 101210
271750 101130
272000 101050
272250 101055
272500 101060
272750 101065
273000 101070
273250 101183
273500 101295
273750 101408
274000 101520
274250 101698
274500 101875
274750 102053
275000 102230
275250 102468
275500 102705
275750 102943
276000 103180
276250 103533
276500 103885
276750 104238
277000 104590
277250 104828
277500 105065
277750 105303
278000 105540
278250 105720
278500 105900
278750 106080
279000 106260
279250 106420
279500 106580
279750 106740
280000 106900
280250 107053
280500 107205
280750 107358
281000 107510
281250 107660
281500 107810
281750 107960
282000 108110
282250 108258
282500 108405
282750 108553
283000 108700
283250 108858
283500 109015
283750 109173
284000 109330
284250 109495
284500 109660
284750 109825
285000 109990
285250 110168
285500 110345
285750 110523
286000 110700
286250 110878
286500 111055
286750 111233
287000 111410
287250 111528
287500 111645
287750 111763
288000 111880
288250 111868
288500 111855
288750 111843
289000 111830
289250 111808
289500 111785
289750 111763
290000 111740
290250 111723
290500 111705
290750 111688
291000 111670
291250 111645
291500 111620
291750 111595
292000 111570
292250 111548
292500 111525
292750 111503
293000 111480
293250 111455
293500 111430
293750 111405
294000 111380
294250 111358
294500 111335
294750 111313
295000 111290
295250 111275
295500 111260
295750 111245
296000 111230
296250 111218
296500 111205
296750 111193
297000 111180
297250 111170
297500 111160
297750 111150
298000 111140
298250 111123
298500 111105
298750 111088
299000 111070
299250 111045
299500 111020
299750 110995
300000 110970
300250 110955
300500 110940
300750 110925
301000 110910
301250 110898
301500 110885
301750 110873
302000 110860
302250 110840
302500 110820
302750 110800
303000 110780
303250 110760
303500 110740
303750 110720
304000 110700
304250 110680
304500 110660
304750 110640
305000 110620
305250 110598
305500 110575
305750 110553
306000 110530
306250 110508
306500 110485
306750 110463
307000 110440
307250 110420
307500 110400
307750 110380
308000 110360
308250 110338
308500 110315
308750 110293
309000 110270
309250 110248
309500 110225
309750 110203
310000 110180
310250 110160
310500 110140
310750 110120
311000 110100
311250 110083
311500 110065
311750 110048
312000 110030
312250 110008
312500 109985
312750 109963
313000 109940
313250 109918
313500 109895
313750 109873
314000 109850
314250 109830
314500 109810
314750 109790
315000 109770
315250 109753
315500 109735
315750 109718
316000 109700
316250 109678
316500 109655
316750 109633
317000 109610
317250 109588
317500 109565
317750 109543
318000 109520
318250 109498
318500 109475
318750 109453
319000 109430
319250 109408
319500 109385
319750 109363
320000 109340
320250 109323
320500 109305
320750 109288
321000 109270
321250 109253
321500 109235
321750 109218
322000 109200
322250 109183
322500 109165
322750 109148
323000 109130
323250 109115
323500 109100
323750 109085
324000 109070
324250 109053
324500 109035
324750 109018
325000 109000
325250 108973
325500 108945
325750 108918
326000 108890
326250 108870
326500 108850
326750 108830
327000 108810
327250 108793
327500 108775
327750 108758
328000 108740
328250 108723
328500 108705
328750 108688
329000 108670
329250 108655
329500 108640
329750 108625
330000 108610
330250 108593
330500 108575
330750 108558
331000 108540
331250 108525
331500 108510
331750 108495
332000 108480
332250 108465
332500 108450
332750 108435
333000 108420
333250 108405
333500 108390
333750 108375
334000 108360
334250 108338
334500 108315
334750 108293
335000 108270
335250 108250
335500 108230
335750 108210
336000 108190
336250 108173
336500 108155
336750 108138
337000 108120
337250 108103
337500 108085
337750 108068
338000 108050
338250 108038
338500 108025
338750 108013
339000 108000
339250 107988
339500 107975
339750 107963
340000 107950
340250 107935
340500 107920
340750 107905
341000 107890
341250 107878
341500 107865
341750 107853
342000 107840
342250 107825
342500 107810
342750 107795
343000 107780
343250 107765
343500 107750
343750 107735
344000 107720
344250 107708
344500 107695
344750 107683
345000 107670
345250 107655
345500 107640
345750 107625
346000 107610
346250 107595
346500 107580
346750 107565
347000 107550
347250 107538
347500 107525
347750 107513
348000 107500
348250 107490
348500 107480
348750 107470
349000 107460
349250 107453
349500 107445
349750 107438
350000 107430
350250 107423
350500 107415
350750 107408
351000 107400
351250 107393
351500 107385
351750 107378
352000 107370
352250 107360
352500 107350
352750 107340
353000 107330
353250 107320
353500 107310
353750 107300
354000 107290
354250 107278
354500 107265
354750 107253
355000 107240
355250 107230
355500 107220
355750 107210
356000 107200
356250 107190
356500 107180
356750 107170
357000 107160
357250 107150
357500 107140
357750 107130
358000 107120
358250 107108
358500 107095
358750 107083
359000 107070
359250 107060
359500 107050
359750 107040
360000 107030
360250 107020
360500 107010
360750 107000
361000 106990
361250 106980
361500 106970
361750 106960
362000 106950
362250 106940
362500 106930
362750 106920
363000 106910
363250 106900
363500 106890
363750 106880
364000 106870
364250 106860
364500 106850
364750 106840
365000 106830
365250 106820
365500 106810
365750 106800
366000 106790
366250 106780
366500 106770
366750 106760
367000 106750
367250 106738
367500 106725
367750 106713
368000 106700
368250 106688
368500 106675
368750 106663
369000 106650
369250 106640
369500 106630
369750 106620
370000 106610
370250 106598
370500 106585
370750 106573
371000 106560
371250 106548
371500 106535
371750 106523
372000 106510
372250 106498
372500 106485
372750 106473
373000 106460
373250 106448
373500 106435
373750 106423
374000 106410
374250 106398
374500 106385
374750 106373
375000 106360
375250 106348
375500 106335
375750 106323
376000 106310
376250 106305
376500 106300
376750 106295
377000 106290
377250 106280
377500 106270
377750 106260
378000 106250
378250 106243
378500 106235
378750 106228
379000 106220
379250 106215
379500 106210
379750 106205
380000 106200
380250 106193
380500 106185
380750 106178
381000 106170
381250 106163
381500 106155
381750 106148
382000 106140
382250 106133
382500 106125
382750 106118
383000 106110
383250 106105
383500 106100
383750 106095
384000 106090
384250 106083
384500 106075
384750 106068
385000 106060
385250 106053
385500 106045
385750 106038
386000 106030
386250 106025
386500 106020
386750 106015
387000 106010
387250 106005
387500 106000
387750 105995
388000 105990
388250 105985
388500 105980
388750 105975
389000 105970
389250 105965
389500 105960
389750 105955
390000 105950
390250 105945
390500 105940
390750 105935
391000 105930
391250 105928
391500 105925
391750 105923
392000 105920
392250 105913
392500 105905
392750 105898
393000 105890
393250 105885
393500 105880
393750 105875
394000 105870
394250 105868
394500 105865
394750 105863
395000 105860
395250 105858
395500 105855
395750 105853
396000 105850
396250 105845
396500 105840
396750 105835
397000 105830
397250 105825
397500 105820
397750 105815
398000 105810
398250 105810
398500 105810
398750 105810
399000 105810
399250 105815
399500 105820
399750 105825
400000 105830
400250 105835
400500 105840
400750 105845
401000 105850
401250 105853
401500 105855
401750 105858
402000 105860
402250 105855
402500 105850
402750 105845
403000 105840
403250 105835
403500 105830
403750 105825
404000 105820
404250 105815
404500 105810
404750 105805
405000 105800
405250 105795
405500 105790
405750 105785
406000 105780
406250 105775
406500 105770
406750 105765
407000 105760
407250 105755
407500 105750
407750 105745
408000 105740
408250 105735
408500 105730
408750 105725
409000 105720
409250 105715
409500 105710
409750 105705
410000 105700
410250 105695
410500 105690
410750 105685
411000 105680
411250 105675
411500 105670
411750 105665
412000 105660
412250 105655
